epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0418,0.91279,0.63346,0.00522,0.69028,0.70491,0.69343,0.49282,1.28454,1.65261,0.01053,0.000408497,0.000408497,0.000408497
2,68.8658,0.98085,0.7307,0.00515,0.69898,0.56088,0.64652,0.46206,1.45361,1.74214,0.01181,0.000804741,0.000804741,0.000804741
3,99.6429,1.0968,0.82591,0.00574,0.61769,0.7039,0.68181,0.46401,1.40658,1.56825,0.01144,0.00118036,0.00118036,0.00118036
4,130.486,1.11372,0.87006,0.00585,0.60211,0.60969,0.63711,0.42213,1.67331,1.3682,0.01396,0.00115719,0.00115719,0.00115719
5,161.342,1.1721,0.88435,0.00619,0.66629,0.64118,0.65202,0.42951,1.57477,1.66375,0.01368,0.00112625,0.00112625,0.00112625
6,191.928,1.22641,0.96671,0.00668,0.6422,0.58786,0.61421,0.40584,1.55628,1.61674,0.01322,0.00109531,0.00109531,0.00109531
7,222.997,1.17106,0.99432,0.00684,0.59385,0.67061,0.65592,0.45481,1.45684,1.55111,0.01183,0.00106437,0.00106437,0.00106437
8,257.693,1.18907,0.94107,0.00644,0.70448,0.62456,0.66344,0.42701,1.4918,1.69367,0.01241,0.00103344,0.00103344,0.00103344
9,292.162,1.14006,0.89029,0.0063,0.56027,0.58201,0.61989,0.42061,1.56549,1.71963,0.01321,0.0010025,0.0010025,0.0010025
10,326.985,1.21741,0.93643,0.0069,0.59436,0.5921,0.60544,0.40566,1.56193,1.5416,0.01338,0.000971562,0.000971562,0.000971562
11,361.646,1.15703,0.84394,0.00635,0.64831,0.62445,0.61916,0.41742,1.43755,1.58815,0.0118,0.000940625,0.000940625,0.000940625
12,396.185,1.15396,0.8964,0.00593,0.65041,0.54826,0.66481,0.44753,1.45715,1.46955,0.01207,0.000909688,0.000909688,0.000909688
13,430.346,1.12167,0.83939,0.00719,0.62796,0.70737,0.6928,0.45263,1.48781,1.6019,0.01318,0.00087875,0.00087875,0.00087875
14,464.375,1.1657,0.88464,0.00687,0.78492,0.61956,0.68802,0.47819,1.50084,1.36474,0.01254,0.000847813,0.000847813,0.000847813
15,498.456,1.11485,0.77366,0.00665,0.77148,0.6525,0.7306,0.50293,1.38264,1.28485,0.01108,0.000816875,0.000816875,0.000816875
16,532.872,1.04986,0.82847,0.00588,0.67655,0.71114,0.71236,0.49109,1.38587,1.24584,0.01122,0.000785938,0.000785938,0.000785938
17,567.426,1.10702,0.75769,0.00574,0.72906,0.62892,0.68101,0.48334,1.4019,1.34511,0.01153,0.000755,0.000755,0.000755
18,602.115,1.06773,0.79332,0.00537,0.70292,0.67017,0.70179,0.49283,1.40348,1.46029,0.01151,0.000724062,0.000724062,0.000724062
19,636.519,1.09118,0.78568,0.00596,0.6909,0.66918,0.71655,0.51808,1.39906,1.35481,0.01129,0.000693125,0.000693125,0.000693125
20,670.79,1.02663,0.74843,0.0047,0.68619,0.6382,0.68364,0.50021,1.36102,1.37286,0.01071,0.000662188,0.000662188,0.000662188
21,704.957,1.03873,0.76445,0.00596,0.69534,0.65529,0.6897,0.4943,1.36954,1.42175,0.01092,0.00063125,0.00063125,0.00063125
22,739.266,1.08635,0.82207,0.00556,0.71456,0.68561,0.69745,0.49261,1.33909,1.30712,0.01081,0.000600313,0.000600313,0.000600313
23,773.606,1.01118,0.72198,0.00516,0.64807,0.69299,0.7029,0.49912,1.30703,1.34872,0.01032,0.000569375,0.000569375,0.000569375
24,807.94,1.00553,0.73363,0.00509,0.70558,0.69871,0.72051,0.51537,1.3132,1.28201,0.01036,0.000538438,0.000538438,0.000538438
