epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8406,1.65835,5.05669,1.49724,0.79082,0.06595,0.10587,0.06404,1.86193,4.915,1.79081,0.000408497,0.000408497,0.000408497
2,38.3071,1.43604,3.86938,1.31626,0.4835,0.22626,0.27493,0.15893,1.7626,4.3788,1.69522,0.000808825,0.000808825,0.000808825
3,56.703,1.48911,3.45922,1.35022,0.38989,0.46345,0.33733,0.20689,1.89801,4.51846,1.86421,0.00119265,0.00119265,0.00119265
4,75.0031,1.43155,3.24244,1.31233,0.65596,0.39525,0.41288,0.25112,1.8577,4.03795,1.65379,0.00117575,0.00117575,0.00117575
5,93.4025,1.44199,2.83694,1.33752,0.41737,0.46045,0.43916,0.26339,1.8079,3.73705,1.67268,0.001151,0.001151,0.001151
6,111.764,1.48836,3.02071,1.3316,0.58874,0.34532,0.4152,0.24358,1.82628,3.01053,1.75778,0.00112625,0.00112625,0.00112625
7,129.981,1.46135,2.63341,1.35869,0.45929,0.40047,0.38501,0.23777,1.68868,3.0367,1.55991,0.0011015,0.0011015,0.0011015
8,149.923,1.41176,2.50578,1.31205,0.52817,0.53004,0.52069,0.30516,1.73351,2.12422,1.55872,0.00107675,0.00107675,0.00107675
9,174.204,1.33426,1.99846,1.24153,0.48395,0.55511,0.49761,0.31431,1.72765,1.93767,1.55519,0.001052,0.001052,0.001052
10,199.777,1.38629,2.13215,1.30199,0.56825,0.51845,0.54696,0.35336,1.5752,1.75771,1.49446,0.00102725,0.00102725,0.00102725
11,220.034,1.28103,1.91296,1.21768,0.59046,0.53055,0.53768,0.3568,1.63629,1.99097,1.48492,0.0010025,0.0010025,0.0010025
12,238.664,1.2919,1.872,1.24409,0.67779,0.46451,0.57688,0.39183,1.48216,1.66974,1.42371,0.00097775,0.00097775,0.00097775
13,257.133,1.23822,1.83058,1.23141,0.58325,0.55498,0.58823,0.38669,1.50074,1.67822,1.42989,0.000953,0.000953,0.000953
14,275.508,1.26783,1.77836,1.23546,0.63176,0.58334,0.60272,0.37206,1.55979,1.94425,1.44556,0.00092825,0.00092825,0.00092825
15,293.854,1.25165,1.7015,1.22412,0.6015,0.57751,0.56917,0.37437,1.58374,1.83257,1.47133,0.0009035,0.0009035,0.0009035
16,312.146,1.21181,1.63194,1.22306,0.67964,0.54445,0.60345,0.42005,1.50645,1.70778,1.4293,0.00087875,0.00087875,0.00087875
17,330.605,1.223,1.50728,1.19969,0.65813,0.5709,0.61381,0.41337,1.42105,1.72957,1.34929,0.000854,0.000854,0.000854
18,349.126,1.15418,1.50142,1.167,0.53185,0.67013,0.62695,0.42661,1.53109,1.62015,1.46108,0.00082925,0.00082925,0.00082925
19,367.474,1.15547,1.48209,1.18956,0.75592,0.5463,0.63196,0.40809,1.60769,1.63022,1.48129,0.0008045,0.0008045,0.0008045
20,385.937,1.10781,1.38223,1.14305,0.8583,0.54569,0.63708,0.44761,1.46638,1.55234,1.43503,0.00077975,0.00077975,0.00077975
