epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4265,1.64993,13.9096,0.00931,0.79193,0.04825,0.05652,0.03245,1.42176,9.19358,0.01137,0.000411585,0.000411585,0.000411585
2,60.2422,1.43581,12.5817,0.0086,0.59572,0.18393,0.22257,0.1323,1.48795,8.33299,0.01245,0.000824152,0.000824152,0.000824152
3,85.7855,1.527,9.31072,0.00786,0.46773,0.22177,0.18935,0.12643,1.48423,6.88557,0.01182,0.00123259,0.00123259,0.00123259
4,112.047,1.49887,8.89087,0.00898,0.55239,0.3249,0.23801,0.14301,1.68032,5.74162,0.0136,0.00123144,0.00123144,0.00123144
5,137.824,1.40761,7.95442,0.00796,0.67294,0.28258,0.31472,0.19143,1.5119,3.6211,0.01255,0.00122525,0.00122525,0.00122525
6,166.632,1.47926,6.90636,0.00868,0.64136,0.29982,0.30548,0.1945,1.60333,2.84455,0.01363,0.00121906,0.00121906,0.00121906
7,194.201,1.48036,6.55451,0.00889,0.6481,0.30369,0.36925,0.20661,1.59495,2.54226,0.01301,0.00121287,0.00121287,0.00121287
8,219.214,1.46727,6.24737,0.00929,0.61025,0.28601,0.34168,0.21096,1.58464,2.41262,0.01429,0.00120669,0.00120669,0.00120669
9,244.376,1.51683,4.61824,0.00856,0.6643,0.33291,0.37532,0.2502,1.55381,2.31211,0.01266,0.0012005,0.0012005,0.0012005
10,268.959,1.4085,4.44791,0.00863,0.59791,0.37508,0.40916,0.28165,1.58447,2.01327,0.01282,0.00119431,0.00119431,0.00119431
11,303.086,1.47761,3.80829,0.0089,0.50978,0.398,0.45234,0.2953,1.52392,2.07555,0.01238,0.00118812,0.00118812,0.00118812
12,332.968,1.39243,3.59991,0.00873,0.67217,0.40581,0.43591,0.28318,1.52389,1.97846,0.01281,0.00118194,0.00118194,0.00118194
13,359.446,1.45133,3.30699,0.00831,0.537,0.45778,0.49163,0.31844,1.58119,1.94541,0.01324,0.00117575,0.00117575,0.00117575
14,390.833,1.38437,2.98219,0.00842,0.61197,0.46332,0.47377,0.30053,1.51925,1.97488,0.01296,0.00116956,0.00116956,0.00116956
15,417.976,1.4212,2.87751,0.00812,0.66685,0.41177,0.46065,0.28148,1.56035,2.09879,0.01354,0.00116337,0.00116337,0.00116337
16,445.111,1.38425,2.69977,0.00832,0.4129,0.44351,0.46617,0.30834,1.48652,1.99523,0.0131,0.00115719,0.00115719,0.00115719
17,473.015,1.38162,2.39086,0.0084,0.49033,0.43559,0.49741,0.31661,1.48004,1.92497,0.01213,0.001151,0.001151,0.001151
18,506.748,1.37742,2.44388,0.00912,0.46302,0.47908,0.47436,0.30412,1.55397,1.82752,0.01369,0.00114481,0.00114481,0.00114481
