epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7579,1.04407,0.99196,0.00546,0.76823,0.64771,0.71175,0.52088,1.22455,1.36327,0.00963,0.000411585,0.000411585,0.000411585
2,84.3801,1.06676,0.9811,0.00559,0.74448,0.6415,0.68919,0.48608,1.26231,1.42574,0.01015,0.000821419,0.000821419,0.000821419
3,117.889,1.13035,1.11419,0.00588,0.6963,0.6453,0.68025,0.47044,1.44933,1.27583,0.01216,0.00122438,0.00122438,0.00122438
4,150.919,1.08995,1.06301,0.00599,0.65532,0.62856,0.64727,0.45981,1.32926,1.48449,0.01034,0.00121906,0.00121906,0.00121906
5,183.865,1.14856,1.123,0.00585,0.67012,0.6293,0.65434,0.46129,1.30342,1.4063,0.01013,0.00120875,0.00120875,0.00120875
6,220.044,1.14685,1.09884,0.00595,0.69527,0.54618,0.64302,0.45454,1.3111,1.47563,0.00993,0.00119844,0.00119844,0.00119844
7,253.546,1.16457,1.08189,0.00603,0.75925,0.61007,0.68487,0.47614,1.38554,1.4436,0.0102,0.00118812,0.00118812,0.00118812
8,286.847,1.17069,1.09954,0.00641,0.75159,0.60972,0.6824,0.46915,1.3474,1.37864,0.01091,0.00117781,0.00117781,0.00117781
9,317.566,1.15656,1.08556,0.0061,0.57466,0.68504,0.66962,0.46062,1.34249,1.30949,0.01121,0.0011675,0.0011675,0.0011675
10,347.052,1.12021,0.97431,0.00608,0.62401,0.60578,0.65736,0.44544,1.41621,1.45546,0.0115,0.00115719,0.00115719,0.00115719
11,376.912,1.14856,1.05934,0.00637,0.71621,0.5822,0.67068,0.47877,1.31591,1.36855,0.01048,0.00114688,0.00114688,0.00114688
12,406.839,1.15111,1.03318,0.00674,0.69426,0.6132,0.68817,0.47151,1.32115,1.37995,0.0105,0.00113656,0.00113656,0.00113656
13,436.837,1.17968,1.11128,0.00641,0.77665,0.60733,0.69359,0.48398,1.35585,1.36906,0.01018,0.00112625,0.00112625,0.00112625
14,466.617,1.14238,1.12888,0.00637,0.70846,0.60181,0.67273,0.45106,1.36301,1.39741,0.0114,0.00111594,0.00111594,0.00111594
15,496.702,1.20075,1.15103,0.00651,0.67447,0.61908,0.66519,0.44154,1.33523,1.52384,0.01237,0.00110563,0.00110563,0.00110563
16,526.663,1.17097,1.06125,0.00684,0.62069,0.62383,0.65862,0.44732,1.43157,1.42471,0.01208,0.00109531,0.00109531,0.00109531
17,557.234,1.12592,1.04391,0.00672,0.7377,0.65726,0.70887,0.4813,1.3433,1.37133,0.01089,0.001085,0.001085,0.001085
18,586.913,1.12264,1.00234,0.00625,0.67866,0.6288,0.67508,0.43936,1.43621,1.46877,0.01225,0.00107469,0.00107469,0.00107469
