epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2972,1.67246,47.533,0.01119,0.08911,0.10617,0.04294,0.02638,1.84915,47.678,0.01855,0.000408497,0.000408497,0.000408497
2,59.6933,1.54448,11.1271,0.00961,0.36528,0.32138,0.26284,0.17782,1.6767,6.79144,0.01514,0.000818321,0.000818321,0.000818321
3,89.2771,1.64506,4.49747,0.00935,0.39846,0.28452,0.26603,0.13869,2.01726,3.65075,0.01842,0.00122124,0.00122124,0.00122124
4,119.196,1.71128,3.15388,0.01013,0.31979,0.34066,0.26655,0.13405,2.12761,3.65211,0.0197,0.00121891,0.00121891,0.00121891
5,149.958,1.72552,2.74415,0.01073,0.42747,0.36569,0.35751,0.18208,2.10444,3.17409,0.0201,0.00120854,0.00120854,0.00120854
6,182.747,1.72068,2.24008,0.01046,0.33776,0.31779,0.32527,0.17216,2.14174,2.6648,0.01851,0.00119818,0.00119818,0.00119818
7,215.583,1.69644,2.1608,0.01098,0.3915,0.37274,0.3912,0.20907,1.96395,2.53124,0.01837,0.00118781,0.00118781,0.00118781
8,248.122,1.69194,2.00753,0.01023,0.49461,0.4275,0.42711,0.23229,2.01318,2.26348,0.01897,0.00117745,0.00117745,0.00117745
9,280.625,1.67326,1.91357,0.00992,0.37096,0.46887,0.43444,0.24035,1.84746,2.25777,0.01556,0.00116708,0.00116708,0.00116708
10,319.372,1.61603,1.8272,0.011,0.41203,0.45248,0.44908,0.26186,1.79704,2.21973,0.01753,0.00115672,0.00115672,0.00115672
11,353.13,1.62158,1.80726,0.01051,0.49796,0.43918,0.47611,0.26533,1.83947,2.32484,0.01652,0.00114635,0.00114635,0.00114635
12,386.898,1.55935,1.73598,0.01036,0.67342,0.39208,0.45657,0.26601,1.83734,2.16592,0.01573,0.00113599,0.00113599,0.00113599
13,419.929,1.61643,1.68313,0.00953,0.5761,0.43231,0.50622,0.27247,1.82653,2.06917,0.01633,0.00112562,0.00112562,0.00112562
14,452.881,1.60371,1.69405,0.00927,0.56467,0.42081,0.49659,0.31061,1.71298,2.07961,0.01553,0.00111526,0.00111526,0.00111526
