epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3572,0.9419,0.64877,0.00513,0.68521,0.71506,0.718,0.48834,1.39951,1.52091,0.01148,0.000408497,0.000408497,0.000408497
2,62.1656,1.00833,0.73388,0.00545,0.74123,0.65898,0.67803,0.44458,1.55823,1.54916,0.01235,0.000808825,0.000808825,0.000808825
3,92.9042,1.10964,0.87372,0.00584,0.59272,0.66512,0.65422,0.43304,1.48572,1.70496,0.01198,0.00119265,0.00119265,0.00119265
4,123.426,1.13983,0.93363,0.0061,0.70833,0.6783,0.69331,0.453,1.53016,1.3217,0.01248,0.00117575,0.00117575,0.00117575
5,154.158,1.17197,0.86548,0.00643,0.65444,0.71105,0.68706,0.4472,1.52552,1.55879,0.01247,0.001151,0.001151,0.001151
6,184.759,1.25382,0.99722,0.00702,0.61075,0.61917,0.6171,0.41709,1.57866,1.41753,0.01412,0.00112625,0.00112625,0.00112625
7,215.346,1.1913,1.01135,0.00731,0.61633,0.60408,0.63697,0.42035,1.53712,1.65864,0.01395,0.0011015,0.0011015,0.0011015
8,246.083,1.21657,0.97792,0.00671,0.62414,0.66108,0.66951,0.42968,1.58783,1.48597,0.01256,0.00107675,0.00107675,0.00107675
9,277.182,1.18738,0.90408,0.0064,0.72085,0.61201,0.67514,0.43084,1.54502,1.53114,0.01241,0.001052,0.001052,0.001052
10,312.235,1.24415,0.99291,0.00715,0.7158,0.6212,0.67794,0.41227,1.50073,1.45335,0.01214,0.00102725,0.00102725,0.00102725
11,346.942,1.19221,0.89958,0.00667,0.67709,0.6336,0.6838,0.43249,1.51328,1.56353,0.01276,0.0010025,0.0010025,0.0010025
12,381.625,1.19072,0.95399,0.00656,0.62512,0.57122,0.6305,0.40849,1.4925,1.56733,0.01226,0.00097775,0.00097775,0.00097775
13,416.194,1.13886,0.87722,0.00702,0.59937,0.67589,0.66275,0.40843,1.50244,1.57978,0.0127,0.000953,0.000953,0.000953
14,450.976,1.19262,0.89486,0.00685,0.76551,0.64178,0.70089,0.42903,1.49157,1.47555,0.01207,0.00092825,0.00092825,0.00092825
15,485.817,1.13568,0.80669,0.00659,0.65254,0.60572,0.65581,0.43784,1.5688,1.52264,0.01251,0.0009035,0.0009035,0.0009035
16,520.551,1.14258,0.84346,0.00659,0.65671,0.60232,0.65745,0.45306,1.51723,1.63555,0.01231,0.00087875,0.00087875,0.00087875
17,555.767,1.15302,0.85043,0.00608,0.72748,0.6241,0.67639,0.4502,1.47484,1.28105,0.01172,0.000854,0.000854,0.000854
18,590.515,1.11667,0.79703,0.00551,0.7239,0.65454,0.70961,0.45491,1.45312,1.40397,0.01166,0.00082925,0.00082925,0.00082925
19,625.307,1.10689,0.78875,0.00595,0.75041,0.63427,0.7055,0.46652,1.49324,1.52183,0.01184,0.0008045,0.0008045,0.0008045
20,660.167,1.06813,0.80839,0.00491,0.63167,0.6676,0.66648,0.44559,1.46137,1.40555,0.01188,0.00077975,0.00077975,0.00077975
21,695.072,1.08909,0.86055,0.00626,0.75546,0.58717,0.68643,0.43679,1.55698,1.38279,0.01277,0.000755,0.000755,0.000755
